MNL,14.5086,121.019997,75.0
HMV,65.80609893798828,15.082799911499023,1503.0
CRM,12.502400398254395,124.63600158691406,6.0
SCY,-0.910206,-89.617401,62.0
DGT,9.3337097168,123.300003052,15.0
STL,38.748697,-90.370003,618.0
GYE,-2.1574199199699997,-79.88359832760001,19.0
PCL,-8.37794017791748,-74.57430267333984,513.0
HAM,53.630401611328,9.9882297515869,53.0
CMN,33.36750030517578,-7.589970111846924,656.0
TCB,26.745300293,-77.3912963867,8.0
ZAD,44.108299,15.3467,289.0
HGH,30.22949981689453,120.43399810791016,23.0
OPS,-11.885000228881836,-55.58610916137695,1227.0
YIK,62.417301177978516,-77.92530059814453,126.0
HKG,22.308901,113.915001,28.0
BRL,40.783199310302734,-91.12550354003906,698.0
NBC,55.564701080322266,52.092498779296875,643.0
MGQ,2.0144400596618652,45.3046989440918,29.0
KUL,2.745579957962,101.70999908447,69.0
FMM,47.988800048799995,10.2395000458,2077.0
YPX,60.05059814453125,-77.28690338134766,74.0
MSL,34.74530029,-87.61019897,551.0
JKG,57.757598876953125,14.068699836730957,741.0
NBO,-1.31923997402,36.9277992249,5330.0
YUD,56.53609848022461,-76.51830291748047,250.0
KOK,63.721199035645,23.143100738525,84.0
YKL,54.805301666259766,-66.8052978515625,1709.0
GYN,-16.631999969482422,-49.220699310302734,2450.0
YGW,55.281898498535156,-77.76529693603516,34.0
CEK,55.305801,61.5033,769.0
CGY,8.612203,124.456496,190.0
MCO,28.429399490356445,-81.30899810791016,96.0
ABJ,5.261390209197998,-3.9262900352478027,21.0
GIG,-22.8099994659,-43.2505569458,28.0
MJZ,62.534698486328125,114.03900146484375,1156.0
TFS,28.044500351,-16.5725002289,209.0
HAK,19.934900283813477,110.45899963378906,75.0
AYP,-13.154800415039062,-74.20439910888672,8917.0
BRA,-12.078900337219238,-45.00899887084961,2447.0
ACH,47.4850006104,9.560770034789998,1306.0
GRZ,46.9911003112793,15.439599990844727,1115.0
AJR,65.59030151367188,19.28190040588379,1245.0
KLO,11.679400444,122.375999451,14.0
ODO,57.866100311299995,114.242996216,919.0
FDH,47.671298980699994,9.51148986816,1367.0
SZG,47.793300628699996,13.0043001175,1411.0
CLO,3.54322,-76.3816,3162.0
YQC,61.0463981628418,-69.6177978515625,103.0
UBA,-19.764722824097,-47.966110229492,2655.0
DLA,4.0060801506,9.719479560849999,33.0
PER,-31.94029998779297,115.96700286865234,67.0
GNV,29.6900997162,-82.2717971802,152.0
OSL,60.121,11.0502,681.0
YZV,50.22330093383789,-66.2656021118164,180.0
BLQ,44.5354,11.2887,123.0
KTN,55.35559845,-131.7140045,89.0
DRS,51.1328010559082,13.767200469970703,755.0
MRV,44.225101470947266,43.08190155029297,1054.0
EGO,50.643798828125,36.5900993347168,735.0
ASF,46.2832984924,48.0063018799,-65.0
OER,63.40829849243164,18.989999771118164,354.0
YTQ,58.66780090332031,-69.95580291748047,122.0
BKK,13.681099891662598,100.74700164794922,5.0
TUP,34.26810073852539,-88.7698974609375,346.0
YWB,61.5886001587,-71.929397583,501.0
CBO,7.1652398109436035,124.20999908447266,189.0
SVX,56.743099212646,60.802700042725,764.0
CUZ,-13.535699844400002,-71.9387969971,10860.0
LGP,13.1575,123.735,66.0
KGD,54.88999938964844,20.592599868774414,42.0
PEM,-12.6135997772,-69.2285995483,659.0
VXO,56.929100036621094,14.727999687194824,610.0
KSD,59.444698333699996,13.337400436400001,352.0
VHM,64.5791015625,16.833599090576172,1140.0
VBY,57.662799835205,18.346200942993,164.0
UDI,-18.883612,-48.225277,3094.0
YWK,52.92190170288086,-66.8644027709961,1808.0
TXL,52.5597,13.2877,122.0
ORD,41.9786,-87.9048,672.0
REP,13.410699844400002,103.81300354,60.0
MUC,48.353802,11.7861,1487.0
BCN,41.2971,2.07846,12.0
YZG,62.17940139770508,-75.66719818115234,743.0
AER,43.449902,39.9566,89.0
KRF,63.04859924316406,17.76889991760254,34.0
KZN,55.606201171875,49.278701782227,411.0
CKY,9.57689,-13.612,72.0
SIN,1.35019,103.994003,22.0
VDC,-14.8627996445,-40.8630981445,3002.0
GES,6.05800008774,125.096000671,505.0
FNA,8.61644,-13.1955,84.0
MTM,55.131001,-131.578003,0.0
OCC,-0.4628860056400299,-76.98680114746094,834.0
LED,59.80030059814453,30.262500762939453,78.0
YGL,53.625301361083984,-77.7042007446289,639.0
AUX,-7.22787,-48.240501,771.0
PMW,-10.291500091600001,-48.35699844359999,774.0
DEC,39.834598541259766,-88.8656997680664,682.0
COO,6.357230186462402,2.384350061416626,19.0
BRU,50.901401519800004,4.48443984985,184.0
LWB,37.8582992554,-80.3994979858,2302.0
OXB,11.894800186157227,-15.65369987487793,129.0
GVA,46.23809814453125,6.108950138092041,1411.0
ARN,59.651901245117,17.918600082397,137.0
AMS,52.308601,4.76389,-11.0
BDS,40.6576,17.947001,47.0
BJL,13.338000297546387,-16.65220069885254,95.0
UKX,56.8567008972168,105.7300033569336,2188.0
TLH,30.396499633789062,-84.35030364990234,81.0
ZRH,47.464699,8.54917,1416.0
PBI,26.68320083618164,-80.09559631347656,19.0
DWC,24.896356,55.161389,114.0
YPH,58.471900939941406,-78.07689666748047,83.0
SJP,-20.816600799599996,-49.40650177,1784.0
KIX,34.42729949951172,135.24400329589844,26.0
CAC,-25.0002994537,-53.500801086399996,2473.0
JED,21.6796,39.156502,48.0
GYD,40.467498779296875,50.04669952392578,10.0
BXU,8.9515,125.4788,141.0
EYW,24.556100845336914,-81.75959777832031,3.0
JIB,11.547300338745117,43.15950012207031,49.0
